time	accel_ms2
6.59	-0.026333976
6.595	-0.025210774
6.6	0.004749207
6.605	0.047734428
6.61	0.077946726
6.615	0.071016453
6.62	0.016072969
6.625	-0.078612563
6.63	-0.18925671
6.635	-0.28665218
6.64	-0.34676086
6.645	-0.3568031
6.65	-0.31537805
6.655	-0.22851649
6.66	-0.10570219
6.665	0.040795484
6.67	0.19396822
6.675	0.33156286
6.68	0.43058145
6.685	0.47512929
6.69	0.462614
6.695	0.40517434
6.7	0.32568702
6.705	0.24866565
6.71	0.18857909
6.715	0.14226992
6.72	0.092835805
6.725	0.024600755
6.73	-0.06220332
6.735	-0.14963923
6.74	-0.21442857
6.745	-0.24365069
6.75	-0.24127302
6.755	-0.22205478
6.76	-0.20034186
6.765	-0.18315297
6.77	-0.17001405
6.775	-0.15551685
6.78	-0.13125462
6.785	-0.088687724
6.79	-0.025565858
6.795	0.047130283
6.8	0.10502572
6.805	0.12042534
6.81	0.077948249
6.815	-0.014166239
6.82	-0.12437609
6.825	-0.20984881
6.83	-0.23452862
6.835	-0.18438822
6.84	-0.07272353
6.845	0.065805701
6.85	0.18889429
6.855	0.26293836
6.86	0.27569753
6.865	0.2385765
6.87	0.17724874
6.875	0.11634931
6.88	0.067615953
6.885	0.028624311
6.89	-0.008456244
6.895	-0.045922195
6.9	-0.07623969
6.905	-0.087086564
6.91	-0.071228073
6.915	-0.033772702
6.92	0.008531124
6.925	0.035927876
6.93	0.036804211
6.935	0.013564316
6.94	-0.020835613
6.945	-0.052306902
6.95	-0.073698239
6.955	-0.086647953
6.96	-0.097713896
6.965	-0.11283441
6.97	-0.13349073
6.975	-0.15560882
6.98	-0.17091333
6.985	-0.16977707
6.99	-0.14508513
6.995	-0.096541212
7	-0.0330749
7.005	0.029191367
7.01	0.072984046
7.015	0.087364176
7.02	0.073483869
7.025	0.044831367
7.03	0.020174575
7.035	0.013123097
7.04	0.025679686
7.045	0.049831816
7.05	0.074965864
7.055	0.094978172
7.06	0.10997627
7.065	0.1226824
7.07	0.1336848
7.075	0.13921632
7.08	0.1324096
7.085	0.10702586
7.09	0.061728289
7.095	0.002767798
7.1	-0.056603854
7.105	-0.10014036
7.11	-0.11439047
7.115	-0.093781183
7.12	-0.04302283
7.125	0.024306272
7.13	0.090389461
7.135	0.13856328
7.14	0.15694272
7.145	0.13983254
7.15	0.088837397
7.155	0.013983489
7.16	-0.067686477
7.165	-0.13762886
7.17	-0.18297529
7.175	-0.20099474
7.18	-0.1982974
7.185	-0.18581247
7.19	-0.17310138
7.195	-0.1652417
7.2	-0.16230577
7.205	-0.15998039
7.21	-0.15072558
7.215	-0.12606884
7.22	-0.080285014
7.225	-0.013547121
7.23	0.06703523
7.235	0.14867275
7.24	0.21620769
7.245	0.25668279
7.25	0.2634026
7.255	0.23748999
7.26	0.18618752
7.265	0.11949076
7.27	0.047656969
7.275	-0.019460784
7.28	-0.07277319
7.285	-0.10557293
7.29	-0.11547769
7.295	-0.10443791
7.3	-0.076550041
7.305	-0.036017261
7.31	0.012688164
7.315	0.063355234
7.32	0.10726779
7.325	0.13449386
7.33	0.136764
7.335	0.11063334
7.34	0.059758307
7.345	-0.005350406
7.35	-0.070353256
7.355	-0.1210526
7.36	-0.14693883
7.365	-0.14371245
7.37	-0.11428018
7.375	-0.067674421
7.38	-0.016113867
7.385	0.028647611
7.39	0.058563405
7.395	0.070740281
7.4	0.066486604
7.405	0.04947906
7.41	0.025108559
7.415	0.000610548
7.42	-0.016282526
7.425	-0.020944537
7.43	-0.015130584
7.435	-0.006165349
7.44	-0.001710964
7.445	-0.004367134
7.45	-0.010468846
7.455	-0.013430921
7.46	-0.008681115
7.465	0.003038768
7.47	0.015755871
7.475	0.021668271
7.48	0.01601123
7.485	0.000851904
7.49	-0.014696793
7.495	-0.018849549
7.5	-0.004086588
7.505	0.027479001
7.51	0.064106364
7.515	0.09041824
7.52	0.095552584
7.525	0.078047864
7.53	0.04493397
7.535	0.006958461
7.54	-0.02628474
7.545	-0.049094946
7.55	-0.060027328
7.555	-0.060617031
7.56	-0.053604828
