"longitude","latitude","pga_cms2","pga_g"
-2.6,55.8,23.31,0.0237695849245155
-2.4,55.8,9.568,0.00975664472577282
-2.2,55.8,8.62,0.00878995375586974
-6,56,89.26,0.0910198691704099
-5.8,56,100.1,0.102073592919091
-5.6,56,102.4,0.10441894020894
-5.4,56,102.4,0.10441894020894
-5.2,56,102.4,0.10441894020894
-5,56,102.4,0.10441894020894
-4.8,56,101.185,0.103179985010172
-4.6,56,59.615,0.0607903820366792
-4.4,56,42.99,0.0438375999959211
-4.2,56,48.48,0.04943584200517
-4,56,33.11,0.0337628038116992
-3.8,56,33.11,0.0337628038116992
-3.6,56,33.11,0.0337628038116992
-3.4,56,33.11,0.0337628038116992
-3.2,56,19.265,0.0196448328430198
-2.8,56,10.87,0.0110843152350701
-2.6,56,8.446,0.00861252313481158
-5.6,56.2,98.575,0.100518525694299
-5.4,56.2,98.575,0.100518525694299
-5.2,56.2,98.575,0.100518525694299
-5,56.2,98.575,0.100518525694299
